,Nombre,Precio,Variacion,Maxima,Minima,Fecha
MERLIN,"9,3500","-0,02","9,3980","9,3160",2021-10-25 01:27:46.674923
NATURGY,"22,0300","-1,12","22,2800","21,9900",2021-10-25 01:27:46.674923
PHARMA MAR,"71,0200","-1,00","72,1400","71,0200",2021-10-25 01:27:46.674923
R.E.C.,"17,6350","0,17","17,7500","17,5400",2021-10-25 01:27:46.674923
REPSOL,"11,4660","0,12","11,5700","11,4220",2021-10-25 01:27:46.674923
SIEMENS GAME,"21,9200","-0,72","22,4900","21,9200",2021-10-25 01:27:46.690545
SOLARIA,"16,9600","1,50","17,1800","16,5700",2021-10-25 01:27:46.690545
TELEFONICA,"3,7715","-0,50","3,8200","3,7645",2021-10-25 01:27:46.690545
VISCOFAN,"55,9500","-0,80","57,1000","55,9000",2021-10-25 01:27:46.690545
,,,,,2021-10-25 01:27:53.763921
ACCIONA,"161,1000","2,09","162,2000","157,9000",2021-10-25 01:27:53.779530
ACERINOX,"11,5900","0,87","11,7050","11,5100",2021-10-25 01:27:53.779530
ACS,"23,0600","0,04","23,3100","22,9400",2021-10-25 01:27:53.779530
AENA,"141,9500","0,67","142,7000","139,0500",2021-10-25 01:27:53.779530
ALMIRALL,"12,7100","-0,31","12,8400","12,6800",2021-10-25 01:27:53.779530
AMADEUS,"55,4000","-1,74","56,5800","55,0800",2021-10-25 01:27:53.779530
ARCELORMIT.,"27,2150","0,91","27,6950","27,1300",2021-10-25 01:27:53.779530
B.SANTANDER,"3,2820","-0,95","3,3420","3,2820",2021-10-25 01:27:53.779530
BA.SABADELL,"0,6540","1,18","0,6612","0,6420",2021-10-25 01:27:53.779530
BANKINTER,"4,7220","-1,32","4,8460","4,7040",2021-10-25 01:27:53.779530
BBVA,"5,6860","0,44","5,7270","5,6320",2021-10-25 01:27:53.795146
CAIXABANK,"2,5410","-0,35","2,5660","2,5000",2021-10-25 01:27:53.795146
CELLNEX,"54,6200","-0,33","55,0200","54,3400",2021-10-25 01:27:53.795146
CIE AUTOMOT.,"23,5400","-1,75","24,0800","23,5400",2021-10-25 01:27:53.795146
ENAGAS,"19,4850","0,93","19,4950","19,1500",2021-10-25 01:27:53.795146
ENDESA,"19,0650","-0,05","19,2250","18,9600",2021-10-25 01:27:53.795146
FERROVIAL,"27,1800","1,34","27,2300","26,7700",2021-10-25 01:27:53.795146
FLUIDRA,"36,9000","1,10","37,4500","36,4000",2021-10-25 01:27:53.795146
GRIFOLS CL.A,"20,2000","-0,93","20,5400","20,1500",2021-10-25 01:27:53.795146
IAG,"1,8515","-2,76","1,9160","1,8325",2021-10-25 01:27:53.795146
IBERDROLA,"9,7160","-0,37","9,8200","9,6560",2021-10-25 01:27:53.795146
INDITEX,"30,7600","-1,73","31,3700","30,7600",2021-10-25 01:27:53.795146
INDRA A,"9,5200","0,37","9,5600","9,4100",2021-10-25 01:27:53.810772
INM.COLONIAL,"8,3150","-0,18","8,4250","8,3150",2021-10-25 01:27:53.810772
MAPFRE,"1,8125","1,57","1,8170","1,7760",2021-10-25 01:27:53.810772
MELIA HOTELS,"6,3420","-0,60","6,4500","6,2160",2021-10-25 01:27:53.810772
MERLIN,"9,3500","-0,02","9,3980","9,3160",2021-10-25 01:27:53.810772
NATURGY,"22,0300","-1,12","22,2800","21,9900",2021-10-25 01:27:53.810772
PHARMA MAR,"71,0200","-1,00","72,1400","71,0200",2021-10-25 01:27:53.810772
R.E.C.,"17,6350","0,17","17,7500","17,5400",2021-10-25 01:27:53.810772
REPSOL,"11,4660","0,12","11,5700","11,4220",2021-10-25 01:27:53.810772
SIEMENS GAME,"21,9200","-0,72","22,4900","21,9200",2021-10-25 01:27:53.810772
SOLARIA,"16,9600","1,50","17,1800","16,5700",2021-10-25 01:27:53.826398
TELEFONICA,"3,7715","-0,50","3,8200","3,7645",2021-10-25 01:27:53.826398
VISCOFAN,"55,9500","-0,80","57,1000","55,9000",2021-10-25 01:27:53.826398
,,,,,2021-10-25 02:11:56.771285
ACCIONA,"161,1000","2,09","162,2000","157,9000",2021-10-25 02:11:56.781148
ACERINOX,"11,5900","0,87","11,7050","11,5100",2021-10-25 02:11:56.781148
ACS,"23,0600","0,04","23,3100","22,9400",2021-10-25 02:11:56.781148
AENA,"141,9500","0,67","142,7000","139,0500",2021-10-25 02:11:56.790653
ALMIRALL,"12,7100","-0,31","12,8400","12,6800",2021-10-25 02:11:56.790653
AMADEUS,"55,4000","-1,74","56,5800","55,0800",2021-10-25 02:11:56.798662
ARCELORMIT.,"27,2150","0,91","27,6950","27,1300",2021-10-25 02:11:56.798662
B.SANTANDER,"3,2820","-0,95","3,3420","3,2820",2021-10-25 02:11:56.798662
BA.SABADELL,"0,6540","1,18","0,6612","0,6420",2021-10-25 02:11:56.798662
BANKINTER,"4,7220","-1,32","4,8460","4,7040",2021-10-25 02:11:56.811196
BBVA,"5,6860","0,44","5,7270","5,6320",2021-10-25 02:11:56.811196
CAIXABANK,"2,5410","-0,35","2,5660","2,5000",2021-10-25 02:11:56.811196
CELLNEX,"54,6200","-0,33","55,0200","54,3400",2021-10-25 02:11:56.821482
CIE AUTOMOT.,"23,5400","-1,75","24,0800","23,5400",2021-10-25 02:11:56.821482
ENAGAS,"19,4850","0,93","19,4950","19,1500",2021-10-25 02:11:56.821482
ENDESA,"19,0650","-0,05","19,2250","18,9600",2021-10-25 02:11:56.831479
FERROVIAL,"27,1800","1,34","27,2300","26,7700",2021-10-25 02:11:56.831479
FLUIDRA,"36,9000","1,10","37,4500","36,4000",2021-10-25 02:11:56.841218
GRIFOLS CL.A,"20,2000","-0,93","20,5400","20,1500",2021-10-25 02:11:56.841218
IAG,"1,8515","-2,76","1,9160","1,8325",2021-10-25 02:11:56.841218
IBERDROLA,"9,7160","-0,37","9,8200","9,6560",2021-10-25 02:11:56.851427
INDITEX,"30,7600","-1,73","31,3700","30,7600",2021-10-25 02:11:56.851427
INDRA A,"9,5200","0,37","9,5600","9,4100",2021-10-25 02:11:56.861280
INM.COLONIAL,"8,3150","-0,18","8,4250","8,3150",2021-10-25 02:11:56.861280
MAPFRE,"1,8125","1,57","1,8170","1,7760",2021-10-25 02:11:56.861280
MELIA HOTELS,"6,3420","-0,60","6,4500","6,2160",2021-10-25 02:11:56.871464
MERLIN,"9,3500","-0,02","9,3980","9,3160",2021-10-25 02:11:56.871464
NATURGY,"22,0300","-1,12","22,2800","21,9900",2021-10-25 02:11:56.880710
PHARMA MAR,"71,0200","-1,00","72,1400","71,0200",2021-10-25 02:11:56.880710
